13 79 51 166
43 44 141 73
18 51 79 146
55 12 147 42
91 77 110 139
57 26 60 36
66 0 160 63
97 57 157 127
8 5 8 58
88 67 88 87
2 91 20 107
94 1 138 60
27 5 48 62
70 35 109 94
2 89 42 122
87 50 123 54
10 0 106 92
19 78 82 97
92 50 134 86
47 68 103 122
90 33 137 97
59 37 107 73
8 99 45 101
71 91 161 116
4 43 19 139
77 34 90 59
92 26 143 121
23 14 114 68
82 48 84 81
59 96 141 121
95 86 149 136
30 84 94 179
50 69 147 151
32 11 63 89
59 5 125 52
43 95 105 103
85 7 109 73
28 16 39 30
80 71 150 123
57 90 141 127
94 29 182 86
68 83 135 120
38 30 94 65
99 25 175 68
35 0 54 10
62 78 121 152
10 65 29 82
46 91 48 95
64 5 81 30
79 74 147 150
53 86 71 176
73 1 161 84
10 40 51 42
59 88 95 153
91 70 167 72
48 9 92 35
81 62 113 137
22 83 85 137
82 84 99 91
60 41 103 78
9 36 27 51
33 41 49 76
93 46 187 56
52 77 95 83
45 58 79 119
87 35 185 80
76 21 111 73
89 93 143 122
21 98 54 165
16 75 71 78
35 30 37 73
0 10 1 27
40 94 75 104
2 65 63 74
16 89 94 156
30 33 31 88
7 82 55 144
90 68 167 125
5 16 35 112
10 24 86 71
14 38 98 62
92 6 135 86
42 22 100 107
32 29 33 33
32 94 67 129
62 59 63 72
44 35 45 93
14 58 49 130
90 95 146 99
52 34 69 55
25 70 90 154
52 90 87 110
31 51 77 76
66 2 103 66
77 42 175 66
56 81 84 146
36 23 42 119
54 46 144 124
4 20 87 77
51 30 115 113
